Fase;Actividades;Entregable;Fecha;Estado;% Avance;Notas
Desarrollo;Ajustes Bases, Power query Power apps, nuevas métricas;BI actualizado;20/03/2026;REALIZADO;;
Diseño;Power Bi Ajustes;Power BI;27/03/2026;REALIZADO;;
Documentación;Power BI - Terminacion;Entrega Final Power BI OnAir;15/04/2026;REALIZADO;;
Lanzamiento;Publicación;BI liberado;24/04/2026;REALIZADO;;
Terminacion;Entrega Total Power BI;Socializacion Entrega;29/04/2026;REALIZADO;;
