Fase;Actividades;Entregable;Fecha;Estado;% Avance;Notas
Levantamiento;Revisión criterios validación FSE;Documento validaciones FSE;02/09/2026;PENDIENTE;0;Mié 02/09 — cronograma Oscar
Diseño;Diseño validaciones formatos;Modelo automatización formatos FSE;09/09/2026;PENDIENTE;0;Mié 09/09
